sku,title,description,brand,product_type,gender,age_group,occasion,url_key,categories,created_at,updated_at,variant_count,product_ids,size,color,price,stock_status
25903501,Uma Utility Bardot Top,,,simple,,,,,,2019-09-03,2023-10-26,7,"225657,225660,225663,225666,225669,225672,225675","04,06,08,10,12,14,16",porcelain,69.99,
25903601,Bonita Three Circle Earrings,,,simple,,,,,,2019-03-11,2023-10-26,1,159251,00,mixed metal,14.99,
25903701,Pixie Freshwater Pearl Hook Earrings,,,simple,,,,,,2019-03-11,2023-10-26,1,159311,00,pearl,16.99,
25903801,Jessa Ball and Chain Drop Earrings,,,simple,,,,,,2019-03-11,2023-10-26,1,159317,00,pearl,16.99,
25903901,Peyton Geometric Three-Pack Earrings,,,simple,,,,,,2019-03-11,2023-10-26,1,159329,00,gold,16.99,
25904101,Sammie Layered Metal Cuff,,,simple,,,,,,2019-03-19,2023-10-26,1,161801,00,gold,19.99,
25904201,Milan Simple Smooth Hoop Earrings,,,simple,,,,,,2019-03-11,2023-10-26,1,159326,00,rose gold,9.99,
25904202,Milan Simple Smooth Hoop Earrings,,,simple,,,,,,2019-03-11,2023-10-26,1,159332,00,rhodium,9.99,
25904301,Martina Cupchain Chandelier Earrings,,,simple,,,,,,2019-03-11,2023-10-26,1,159323,00,crystal,22.99,
25904401,Kensley Two-Pack Cubic Zirconia Round Wrap Rings,,,simple,,,,,,2019-03-11,2023-10-26,3,"159473,159476,159479","m_l,s_m,xs_s",gold,16.99,
25904501,Viva Four-Pack Marquis Stone Wrap Rings,,,simple,,,,,,2019-03-11,2023-10-26,2,"159485,159488","m_l,s_m",cobalt,12.99,
25904601,Clara Cupchain Bracelet,,,simple,,,,,,2019-03-19,2023-10-26,1,161750,00,silk,19.99,
25904701,Shayla T-Bar Bangle,,,simple,,,,,,2019-03-11,2023-10-26,1,159482,00,silver,14.99,
25904801,Posh Glitter Paper Charm Bracelet,,,simple,,,,,,2019-06-03,2023-10-26,1,174631,00,rose gold,16.99,
25904901,Lara Lace Insert Maxi Dress,,,simple,,,,,,2019-07-04,2023-10-26,7,"179271,179274,179277,179280,179283,179286,179289","04,06,08,10,12,14,16",spring ditsy,159.99,
25905101,9351746318197,,,simple,,,,,,2019-09-03,2023-10-26,7,"238878,238881,238884,238887,238890,238893,238896","04,06,08,10,12,14,16",soft botanical,139.99,
25905501,Shea Sequin Drape Maxi Dress,,,simple,,,,,,2019-08-16,2023-10-26,8,"185823,185826,185829,185832,185835,185838,185841,185844","04,06,08,10,12,14,16,18",silver sequin,199.99,
25905601,Sandra Gathered Yoke Wrap Shirt,,,simple,,,,,,2019-05-27,2025-05-01,7,"174215,174218,174221,174224,174227,174230,174233","04,06,08,10,12,14,16",navy,89.99,
25905603,Sandra gathered yoke wrap shirt,,,simple,,,,,,2019-10-18,2025-05-01,8,"259753,259759,259762,259765,259777,259786,259789,259792","04,06,08,10,12,14,16,18",enchanted,89.99,
25906103,Frankie Woven Yoke Essential Top,,,simple,,,,,,2019-03-12,2023-10-26,5,"159896,159899,159902,159905,159908","l,m,s,xs,xxs",plumberry,39.99,
25906201,Camille Asymmetric One-Shoulder Drape Maxi Dress,,,simple,,,,,,2019-07-09,2023-10-26,8,"180048,180051,180054,180057,180060,180063,180066,180069","04,06,08,10,12,14,16,18",black,169.99,
25906202,9351746327038,,,simple,,,,,,2019-09-03,2023-10-26,7,"238371,238374,238377,238380,238383,238386,238389","04,06,08,10,12,14,16",navy,189.99,
25906301,Hiedi Tie Dye Maxi Dress,,,simple,,,,,,2019-01-15,2023-10-26,7,"147552,147555,147558,147561,147564,147567,147570","04,06,08,10,12,14,16",tie dye,119.99,
25906601,Priscilla bardot lace dress,,,simple,,,,,,2019-09-03,2023-10-26,4,"220722,220725,220728,220731","06,08,10,12",porcelain/iced yellow,109.99,
25906803,Billie Embroidered Dress,,,simple,,,,,,2019-05-23,2023-10-26,7,"172826,172829,172832,172835,172838,172841,172844","04,06,08,10,12,14,16",black,159.99,
